epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5869,3.36367,4.75578,4.20795,0.00021,0.09615,8e-05,2e-05,3.1426,4.86659,4.15082,0.00048343,0.00048343,0.00048343
2,23.7903,3.42611,4.52811,4.12894,0.0002,0.09615,0.00013,3e-05,3.14172,4.68719,4.12681,0.000973793,0.000973793,0.000973793
3,34.8314,3.50427,4.39289,3.97405,0,0,0,0,3.14622,4.64709,4.15998,0.00145425,0.00145425,0.00145425
4,46.284,3.20565,4.078,3.73256,0.00189,0.54923,0.00618,0.00156,3.00748,4.25329,3.50926,0.00161749,0.00161749,0.00161749
5,57.9735,3.08012,3.84012,3.46905,0.00078,0.17923,0.00074,0.0001,3.45945,4.8287,4.55818,0.00160099,0.00160099,0.00160099
6,69.6133,2.92636,3.86084,3.28727,0.00028,0.07692,0.00015,5e-05,3.5671,8.24078,11.0025,0.00158448,0.00158448,0.00158448
7,80.9247,2.87945,3.71545,3.16886,0.00098,0.19692,0.00115,0.00033,3.34022,20.6095,10.4333,0.00156798,0.00156798,0.00156798
8,92.7417,2.77644,3.49235,3.09277,0.01398,0.23538,0.01111,0.0036,2.92321,7.90987,3.483,0.00155148,0.00155148,0.00155148
9,105.149,2.78238,3.65826,3.10528,0.08852,0.05846,0.01816,0.0107,2.83639,10.7465,3.26661,0.00153497,0.00153497,0.00153497
10,118.095,2.72053,3.27892,2.97493,0.17774,0.1044,0.08531,0.0283,2.74411,3.96491,3.23576,0.00151847,0.00151847,0.00151847
11,129.923,2.53949,3.2307,2.84861,0.14314,0.25538,0.10665,0.04939,2.44809,3.46423,3.04116,0.00150197,0.00150197,0.00150197
12,141.47,2.39249,3.01417,2.75859,0.20545,0.31462,0.13679,0.04801,2.24932,3.54702,2.81887,0.00148546,0.00148546,0.00148546
13,152.12,2.3186,2.94561,2.68698,0.27797,0.15769,0.14268,0.06832,2.18486,4.19469,2.6374,0.00146896,0.00146896,0.00146896
14,162.818,2.25234,2.90352,2.58861,0.17329,0.35385,0.13103,0.05427,1.98013,3.56253,2.44368,0.00145246,0.00145246,0.00145246
15,175.016,2.12636,2.68378,2.56449,0.24585,0.45077,0.20205,0.0959,1.97644,3.65187,2.50614,0.00143595,0.00143595,0.00143595
16,187.831,2.145,2.75045,2.48712,0.23556,0.43385,0.23328,0.1116,1.88822,2.80698,2.42436,0.00141945,0.00141945,0.00141945
17,198.986,2.08654,2.62202,2.45142,0.23,0.25692,0.1773,0.09384,1.82113,2.77577,2.32501,0.00140295,0.00140295,0.00140295
18,210.178,2.01854,2.63096,2.3994,0.17789,0.33385,0.17093,0.08377,2.04281,2.97099,2.51777,0.00138644,0.00138644,0.00138644
19,221.451,2.03674,2.64475,2.38068,0.22937,0.33708,0.2106,0.10889,1.81499,2.83069,2.34311,0.00136994,0.00136994,0.00136994
20,232.572,1.93958,2.5306,2.32135,0.30573,0.51231,0.23078,0.11799,1.76104,2.58276,2.29856,0.00135344,0.00135344,0.00135344
21,243.986,1.88997,2.4868,2.28063,0.29448,0.33308,0.20556,0.09951,1.79005,2.82069,2.4028,0.00133693,0.00133693,0.00133693
22,255.353,1.90824,2.44175,2.27771,0.3013,0.39385,0.25328,0.13114,1.74212,2.60496,2.23588,0.00132043,0.00132043,0.00132043
23,266.762,1.89948,2.37432,2.22651,0.25989,0.47308,0.20992,0.11558,1.74553,2.80058,2.34464,0.00130393,0.00130393,0.00130393
24,278.665,1.96205,2.4909,2.2729,0.26381,0.51,0.26744,0.12858,1.80526,2.55955,2.36577,0.00128742,0.00128742,0.00128742
25,290.696,1.79131,2.28983,2.09392,0.28938,0.53077,0.24944,0.12897,1.61488,2.45287,2.15085,0.00127092,0.00127092,0.00127092
26,303.026,1.82914,2.27366,2.16054,0.30366,0.51,0.23668,0.12221,1.70558,2.35061,2.18387,0.00125442,0.00125442,0.00125442
27,314.954,1.69538,2.26721,2.04636,0.28727,0.43154,0.2225,0.11439,1.67759,2.39139,2.20096,0.00123791,0.00123791,0.00123791
28,326.386,1.81081,2.24612,2.13624,0.35412,0.45882,0.27718,0.1418,1.69496,2.26922,2.17567,0.00122141,0.00122141,0.00122141
29,337.524,1.74647,2.27645,2.08642,0.28792,0.33462,0.22483,0.12546,1.63688,2.42133,2.15049,0.00120491,0.00120491,0.00120491
30,349.147,1.68426,2.2177,2.00775,0.26806,0.53154,0.27828,0.17826,1.51029,2.35488,2.02548,0.0011884,0.0011884,0.0011884
31,360.584,1.65562,2.12164,1.99073,0.39578,0.47231,0.33797,0.2022,1.50785,2.18648,2.05271,0.0011719,0.0011719,0.0011719
32,371.825,1.70543,2.17446,2.00625,0.34214,0.44971,0.30975,0.17661,1.62791,2.36441,2.17645,0.0011554,0.0011554,0.0011554
33,382.959,1.72929,2.12752,2.0334,0.35036,0.47971,0.28753,0.14944,1.80092,2.26114,2.31174,0.00113889,0.00113889,0.00113889
34,394.539,1.72213,2.14005,2.05282,0.28964,0.48923,0.26413,0.14834,1.45106,2.34458,2.02606,0.00112239,0.00112239,0.00112239
35,406.292,1.66822,2.14749,1.9997,0.2775,0.56923,0.2788,0.15189,1.56745,2.32646,2.13396,0.00110589,0.00110589,0.00110589
36,418.034,1.62094,2.09657,1.95354,0.29656,0.44693,0.27567,0.16446,1.4486,2.07668,1.95563,0.00108938,0.00108938,0.00108938
37,430.217,1.68134,2.04019,1.99352,0.31746,0.53,0.26681,0.15706,1.49794,2.16836,2.01299,0.00107288,0.00107288,0.00107288
38,442.515,1.66666,2.0797,1.98723,0.39422,0.46381,0.31516,0.19202,1.38873,1.97241,1.92911,0.00105638,0.00105638,0.00105638
39,454.653,1.5522,1.94629,1.90811,0.31709,0.55154,0.27635,0.17485,1.50312,2.07679,2.01122,0.00103987,0.00103987,0.00103987
40,465.856,1.53895,1.89927,1.86966,0.31606,0.59306,0.31348,0.19415,1.48014,2.3056,1.94513,0.00102337,0.00102337,0.00102337
41,478.421,1.55094,1.95012,1.85963,0.31871,0.41077,0.28944,0.18608,1.32581,2.14596,1.86218,0.00100687,0.00100687,0.00100687
42,490.225,1.52712,1.89389,1.84672,0.31792,0.44638,0.29593,0.18319,1.34801,2.03482,1.88923,0.000990365,0.000990365,0.000990365
43,501.388,1.57148,1.93091,1.8855,0.32464,0.58769,0.29301,0.1763,1.48033,1.91602,1.95337,0.000973861,0.000973861,0.000973861
44,512.432,1.55502,1.86649,1.82416,0.35833,0.66846,0.30946,0.19349,1.33663,1.91022,1.90056,0.000957358,0.000957358,0.000957358
45,523.191,1.4851,1.81935,1.82844,0.36944,0.51154,0.33493,0.20074,1.35094,1.96844,1.90111,0.000940855,0.000940855,0.000940855
46,540.096,1.5046,1.81885,1.81953,0.34858,0.66846,0.32787,0.19854,1.36852,1.92553,1.88728,0.000924352,0.000924352,0.000924352
47,551.044,1.47141,1.84798,1.81573,0.34405,0.70696,0.32612,0.20489,1.34203,1.97807,1.84899,0.000907848,0.000907848,0.000907848
48,562.109,1.47979,1.81441,1.76761,0.36172,0.55077,0.34049,0.20875,1.43333,1.96625,1.97608,0.000891345,0.000891345,0.000891345
49,573.233,1.48097,1.83761,1.82969,0.38665,0.52846,0.37102,0.22966,1.36228,2.01147,1.92299,0.000874842,0.000874842,0.000874842
50,584.381,1.4649,1.85188,1.81933,0.37801,0.71926,0.34319,0.22141,1.38692,1.83828,1.92667,0.000858338,0.000858338,0.000858338
51,596.555,1.49465,1.8091,1.81778,0.37125,0.69763,0.38474,0.25725,1.32931,1.87932,1.86663,0.000841835,0.000841835,0.000841835
52,607.876,1.36294,1.74057,1.71745,0.33365,0.64769,0.32997,0.21648,1.34702,1.86357,1.89914,0.000825332,0.000825332,0.000825332
53,618.89,1.41642,1.80933,1.73541,0.3305,0.53907,0.29469,0.19188,1.32248,1.86907,1.85188,0.000808828,0.000808828,0.000808828
54,629.516,1.42408,1.75519,1.72043,0.35221,0.66769,0.33467,0.21599,1.32748,1.73673,1.8404,0.000792325,0.000792325,0.000792325
55,640.575,1.49329,1.76712,1.80199,0.38653,0.59,0.35578,0.22793,1.29343,1.69998,1.82585,0.000775822,0.000775822,0.000775822
56,652.109,1.51142,1.80327,1.80402,0.31475,0.66769,0.32907,0.19979,1.38727,1.77463,1.90439,0.000759318,0.000759318,0.000759318
57,662.818,1.32755,1.6775,1.65399,0.30399,0.70692,0.33989,0.21904,1.21968,1.7856,1.77093,0.000742815,0.000742815,0.000742815
58,673.521,1.374,1.71378,1.72539,0.32803,0.60615,0.32843,0.20394,1.28369,1.89016,1.78852,0.000726312,0.000726312,0.000726312
59,684.06,1.29466,1.68965,1.6462,0.27092,0.64769,0.28058,0.18944,1.25462,1.96181,1.80535,0.000709809,0.000709809,0.000709809
60,694.443,1.41911,1.69748,1.78457,0.33626,0.57077,0.34029,0.21434,1.29537,1.81782,1.81417,0.000693305,0.000693305,0.000693305
